Time,Humphrey Hall,Jorns Halls,Gilman House,Mack House,Seed Building,DeJope Residence Hall,Phillips Residence Hall,Sullivan Residence Hall,Swenson House,Chamberlin Residence Hall,Cole Residence Hall,Veterinary Medicine Building,Tripp Residence Hall,Livestock Laboratory,Agricultural Engineering Laboratory,Veterinary Diagnostic Lab,Adams Residence Hall,Turner House, Kronshage Residence Hall, Leopold Residence Hall,Bakke Recreation & Wellbeing Center,Bradley Residence Hall,Jones Residence Hall,Goodnight Hall,Slichter Residence Hall,Carson Gulley Center
1/1/23 0:00,0.43 kW,0.27 kW,0.27 kW,0.43 kW,19.13 kW,0.43 kW,0.43 kW,0.43 kW,0.43 kW,0.27 kW,0.43 kW,31.99 kW,0.27 kW,18.96 kW,13.03 kW,18.96 kW,0.27 kW,0.43 kW,0.27 kW,0.27 kW,285.99 kW,0.43 kW,0.27 kW,13.03 kW,0.27 kW,0.27 kW
1/1/23 0:15,0.27 kW,0.27 kW,0.27 kW,0.27 kW,19.11 kW,0.27 kW,0.27 kW,0.27 kW,0.27 kW,0.27 kW,0.27 kW,31.98 kW,0.27 kW,18.94 kW,13.04 kW,18.94 kW,0.27 kW,0.27 kW,0.27 kW,0.27 kW,286.03 kW,0.27 kW,0.27 kW,13.04 kW,0.27 kW,0.27 kW
1/1/23 0:30,0.10 kW,0.29 kW,0.29 kW,0.10 kW,19.09 kW,0.10 kW,0.10 kW,0.10 kW,0.10 kW,0.29 kW,0.10 kW,31.92 kW,0.29 kW,18.92 kW,12.99 kW,18.92 kW,0.29 kW,0.10 kW,0.29 kW,0.29 kW,287.27 kW,0.10 kW,0.29 kW,12.99 kW,0.29 kW,0.29 kW
1/1/23 0:45,0.10 kW,0.29 kW,0.29 kW,0.10 kW,19.12 kW,0.10 kW,0.10 kW,0.10 kW,0.10 kW,0.29 kW,0.10 kW,32.01 kW,0.29 kW,18.95 kW,13.05 kW,18.95 kW,0.29 kW,0.10 kW,0.29 kW,0.29 kW,287.27 kW,0.10 kW,0.29 kW,13.05 kW,0.29 kW,0.29 kW
1/1/23 1:00,0.15 kW,0.69 kW,0.69 kW,0.15 kW,19.54 kW,0.15 kW,0.15 kW,0.15 kW,0.15 kW,0.69 kW,0.15 kW,33.76 kW,0.69 kW,19.37 kW,14.39 kW,19.37 kW,0.69 kW,0.15 kW,0.69 kW,0.69 kW,317.03 kW,0.15 kW,0.69 kW,14.39 kW,0.69 kW,0.69 kW
1/1/23 1:15,0.16 kW,0.71 kW,0.71 kW,0.16 kW,19.52 kW,0.16 kW,0.16 kW,0.16 kW,0.16 kW,0.71 kW,0.16 kW,33.84 kW,0.71 kW,19.36 kW,14.49 kW,19.36 kW,0.71 kW,0.16 kW,0.71 kW,0.71 kW,316.74 kW,0.16 kW,0.71 kW,14.49 kW,0.71 kW,0.71 kW
1/1/23 1:30,0.16 kW,0.72 kW,0.72 kW,0.16 kW,19.40 kW,0.16 kW,0.16 kW,0.16 kW,0.16 kW,0.72 kW,0.16 kW,33.83 kW,0.72 kW,19.23 kW,14.60 kW,19.23 kW,0.72 kW,0.16 kW,0.72 kW,0.72 kW,317.09 kW,0.16 kW,0.72 kW,14.60 kW,0.72 kW,0.72 kW
1/1/23 1:45,0.16 kW,0.73 kW,0.73 kW,0.16 kW,19.42 kW,0.16 kW,0.16 kW,0.16 kW,0.16 kW,0.73 kW,0.16 kW,33.99 kW,0.73 kW,19.25 kW,14.75 kW,19.25 kW,0.73 kW,0.16 kW,0.73 kW,0.73 kW,316.59 kW,0.16 kW,0.73 kW,14.75 kW,0.73 kW,0.73 kW
1/1/23 2:00,0.16 kW,0.74 kW,0.74 kW,0.16 kW,19.39 kW,0.16 kW,0.16 kW,0.16 kW,0.16 kW,0.74 kW,0.16 kW,34.20 kW,0.74 kW,19.21 kW,14.99 kW,19.21 kW,0.74 kW,0.16 kW,0.74 kW,0.74 kW,316.69 kW,0.16 kW,0.74 kW,14.99 kW,0.74 kW,0.74 kW
1/1/23 2:15,0.16 kW,0.76 kW,0.76 kW,0.16 kW,19.31 kW,0.16 kW,0.16 kW,0.16 kW,0.16 kW,0.76 kW,0.16 kW,34.15 kW,0.76 kW,19.14 kW,15.01 kW,19.14 kW,0.76 kW,0.16 kW,0.76 kW,0.76 kW,316.55 kW,0.16 kW,0.76 kW,15.01 kW,0.76 kW,0.76 kW
1/1/23 2:30,0.16 kW,0.76 kW,0.76 kW,0.16 kW,19.36 kW,0.16 kW,0.16 kW,0.16 kW,0.16 kW,0.76 kW,0.16 kW,34.27 kW,0.76 kW,19.18 kW,15.09 kW,19.18 kW,0.76 kW,0.16 kW,0.76 kW,0.76 kW,317.07 kW,0.16 kW,0.76 kW,15.09 kW,0.76 kW,0.76 kW
1/1/23 2:45,0.16 kW,0.77 kW,0.77 kW,0.16 kW,19.31 kW,0.16 kW,0.16 kW,0.16 kW,0.16 kW,0.77 kW,0.16 kW,34.24 kW,0.77 kW,19.14 kW,15.10 kW,19.14 kW,0.77 kW,0.16 kW,0.77 kW,0.77 kW,316.66 kW,0.16 kW,0.77 kW,15.10 kW,0.77 kW,0.77 kW
1/1/23 3:00,0.16 kW,1.07 kW,1.07 kW,0.16 kW,19.29 kW,0.16 kW,0.16 kW,0.16 kW,0.16 kW,1.07 kW,0.16 kW,34.35 kW,1.07 kW,19.13 kW,15.22 kW,19.13 kW,1.07 kW,0.16 kW,1.07 kW,1.07 kW,316.60 kW,0.16 kW,1.07 kW,15.22 kW,1.07 kW,1.07 kW
1/1/23 3:15,0.16 kW,1.07 kW,1.07 kW,0.16 kW,19.39 kW,0.16 kW,0.16 kW,0.16 kW,0.16 kW,1.07 kW,0.16 kW,34.60 kW,1.07 kW,19.23 kW,15.37 kW,19.23 kW,1.07 kW,0.16 kW,1.07 kW,1.07 kW,316.84 kW,0.16 kW,1.07 kW,15.37 kW,1.07 kW,1.07 kW
1/1/23 3:30,0.16 kW,1.07 kW,1.07 kW,0.16 kW,19.41 kW,0.16 kW,0.16 kW,0.16 kW,0.16 kW,1.07 kW,0.16 kW,34.64 kW,1.07 kW,19.24 kW,15.40 kW,19.24 kW,1.07 kW,0.16 kW,1.07 kW,1.07 kW,316.27 kW,0.16 kW,1.07 kW,15.40 kW,1.07 kW,1.07 kW
1/1/23 3:45,0.16 kW,1.07 kW,1.07 kW,0.16 kW,19.50 kW,0.16 kW,0.16 kW,0.16 kW,0.16 kW,1.07 kW,0.16 kW,34.87 kW,1.07 kW,19.33 kW,15.54 kW,19.33 kW,1.07 kW,0.16 kW,1.07 kW,1.07 kW,316.44 kW,0.16 kW,1.07 kW,15.54 kW,1.07 kW,1.07 kW
1/1/23 4:00,0.16 kW,0.91 kW,0.91 kW,0.16 kW,19.54 kW,0.16 kW,0.16 kW,0.16 kW,0.16 kW,0.91 kW,0.16 kW,35.17 kW,0.91 kW,19.37 kW,15.80 kW,19.37 kW,0.91 kW,0.16 kW,0.91 kW,0.91 kW,316.82 kW,0.16 kW,0.91 kW,15.80 kW,0.91 kW,0.91 kW
1/1/23 4:15,0.16 kW,0.82 kW,0.82 kW,0.16 kW,19.70 kW,0.16 kW,0.16 kW,0.16 kW,0.16 kW,0.82 kW,0.16 kW,35.54 kW,0.82 kW,19.52 kW,16.02 kW,19.52 kW,0.82 kW,0.16 kW,0.82 kW,0.82 kW,316.51 kW,0.16 kW,0.82 kW,16.02 kW,0.82 kW,0.82 kW
1/1/23 4:30,0.16 kW,0.90 kW,0.90 kW,0.16 kW,19.96 kW,0.16 kW,0.16 kW,0.16 kW,0.16 kW,0.90 kW,0.16 kW,36.26 kW,0.90 kW,19.78 kW,16.48 kW,19.78 kW,0.90 kW,0.16 kW,0.90 kW,0.90 kW,316.55 kW,0.16 kW,0.90 kW,16.48 kW,0.90 kW,0.90 kW
1/1/23 4:45,0.16 kW,0.89 kW,0.89 kW,0.16 kW,20.32 kW,0.16 kW,0.16 kW,0.16 kW,0.16 kW,0.89 kW,0.16 kW,36.66 kW,0.89 kW,20.14 kW,16.51 kW,20.14 kW,0.89 kW,0.16 kW,0.89 kW,0.89 kW,316.82 kW,0.16 kW,0.89 kW,16.51 kW,0.89 kW,0.89 kW
1/1/23 5:00,0.17 kW,0.89 kW,0.89 kW,0.17 kW,20.50 kW,0.17 kW,0.17 kW,0.17 kW,0.17 kW,0.89 kW,0.17 kW,37.44 kW,0.89 kW,20.29 kW,17.14 kW,20.29 kW,0.89 kW,0.17 kW,0.89 kW,0.89 kW,316.96 kW,0.17 kW,0.89 kW,17.14 kW,0.89 kW,0.89 kW
1/1/23 5:15,0.17 kW,0.88 kW,0.88 kW,0.17 kW,20.90 kW,0.17 kW,0.17 kW,0.17 kW,0.17 kW,0.88 kW,0.17 kW,38.13 kW,0.88 kW,20.69 kW,17.44 kW,20.69 kW,0.88 kW,0.17 kW,0.88 kW,0.88 kW,317.76 kW,0.17 kW,0.88 kW,17.44 kW,0.88 kW,0.88 kW
1/1/23 5:30,0.17 kW,0.89 kW,0.89 kW,0.17 kW,21.04 kW,0.17 kW,0.17 kW,0.17 kW,0.17 kW,0.89 kW,0.17 kW,38.81 kW,0.89 kW,20.83 kW,17.98 kW,20.83 kW,0.89 kW,0.17 kW,0.89 kW,0.89 kW,318.26 kW,0.17 kW,0.89 kW,17.98 kW,0.89 kW,0.89 kW
1/1/23 5:45,0.17 kW,0.89 kW,0.89 kW,0.17 kW,21.49 kW,0.17 kW,0.17 kW,0.17 kW,0.17 kW,0.89 kW,0.17 kW,39.60 kW,0.89 kW,21.28 kW,18.32 kW,21.28 kW,0.89 kW,0.17 kW,0.89 kW,0.89 kW,318.22 kW,0.17 kW,0.89 kW,18.32 kW,0.89 kW,0.89 kW
1/1/23 6:00,0.07 kW,0.93 kW,0.93 kW,0.07 kW,22.09 kW,0.07 kW,0.07 kW,0.07 kW,0.07 kW,0.93 kW,0.07 kW,41.56 kW,0.93 kW,21.83 kW,19.72 kW,21.83 kW,0.93 kW,0.07 kW,0.93 kW,0.93 kW,318.60 kW,0.07 kW,0.93 kW,19.72 kW,0.93 kW,0.93 kW
1/1/23 6:15,0.09 kW,0.92 kW,0.92 kW,0.09 kW,24.77 kW,0.09 kW,0.09 kW,0.09 kW,0.09 kW,0.92 kW,0.09 kW,44.36 kW,0.92 kW,24.52 kW,19.84 kW,24.52 kW,0.92 kW,0.09 kW,0.92 kW,0.92 kW,319.47 kW,0.09 kW,0.92 kW,19.84 kW,0.92 kW,0.92 kW
1/1/23 6:30,0.10 kW,0.92 kW,0.92 kW,0.10 kW,25.21 kW,0.10 kW,0.10 kW,0.10 kW,0.10 kW,0.92 kW,0.10 kW,45.27 kW,0.92 kW,24.96 kW,20.31 kW,24.96 kW,0.92 kW,0.10 kW,0.92 kW,0.92 kW,322.63 kW,0.10 kW,0.92 kW,20.31 kW,0.92 kW,0.92 kW
1/1/23 6:45,0.10 kW,1.12 kW,1.12 kW,0.10 kW,26.04 kW,0.10 kW,0.10 kW,0.10 kW,0.10 kW,1.12 kW,0.10 kW,47.79 kW,1.12 kW,25.79 kW,22.00 kW,25.79 kW,1.12 kW,0.10 kW,1.12 kW,1.12 kW,324.93 kW,0.10 kW,1.12 kW,22.00 kW,1.12 kW,1.12 kW
1/1/23 7:00,0.11 kW,1.40 kW,1.40 kW,0.11 kW,28.23 kW,0.11 kW,0.11 kW,0.11 kW,0.11 kW,1.40 kW,0.11 kW,58.24 kW,1.40 kW,27.99 kW,30.25 kW,27.99 kW,1.40 kW,0.11 kW,1.40 kW,1.40 kW,328.63 kW,0.11 kW,1.40 kW,30.25 kW,1.40 kW,1.40 kW
1/1/23 7:15,0.11 kW,0.97 kW,0.97 kW,0.11 kW,29.10 kW,0.11 kW,0.11 kW,0.11 kW,0.11 kW,0.97 kW,0.11 kW,58.87 kW,0.97 kW,28.58 kW,30.29 kW,28.58 kW,0.97 kW,0.11 kW,0.97 kW,0.97 kW,331.98 kW,0.11 kW,0.97 kW,30.29 kW,0.97 kW,0.97 kW
1/1/23 7:30,0.12 kW,0.97 kW,0.97 kW,0.12 kW,29.65 kW,0.12 kW,0.12 kW,0.12 kW,0.12 kW,0.97 kW,0.12 kW,58.97 kW,0.97 kW,29.06 kW,29.91 kW,29.06 kW,0.97 kW,0.12 kW,0.97 kW,0.97 kW,334.16 kW,0.12 kW,0.97 kW,29.91 kW,0.97 kW,0.97 kW
1/1/23 7:45,0.12 kW,0.82 kW,0.82 kW,0.12 kW,30.19 kW,0.12 kW,0.12 kW,0.12 kW,0.12 kW,0.82 kW,0.12 kW,59.58 kW,0.82 kW,29.86 kW,29.72 kW,29.86 kW,0.82 kW,0.12 kW,0.82 kW,0.82 kW,333.61 kW,0.12 kW,0.82 kW,29.72 kW,0.82 kW,0.82 kW
1/1/23 8:00,0.12 kW,1.17 kW,1.17 kW,0.12 kW,31.25 kW,0.12 kW,0.12 kW,0.12 kW,0.12 kW,1.17 kW,0.12 kW,60.28 kW,1.17 kW,30.91 kW,29.37 kW,30.91 kW,1.17 kW,0.12 kW,1.17 kW,1.17 kW,335.06 kW,0.12 kW,1.17 kW,29.37 kW,1.17 kW,1.17 kW
1/1/23 8:15,0.12 kW,1.27 kW,1.27 kW,0.12 kW,31.11 kW,0.12 kW,0.12 kW,0.12 kW,0.12 kW,1.27 kW,0.12 kW,59.92 kW,1.27 kW,30.78 kW,29.13 kW,30.78 kW,1.27 kW,0.12 kW,1.27 kW,1.27 kW,334.41 kW,0.12 kW,1.27 kW,29.13 kW,1.27 kW,1.27 kW
1/1/23 8:30,0.12 kW,0.98 kW,0.98 kW,0.12 kW,28.19 kW,0.12 kW,0.12 kW,0.12 kW,0.12 kW,0.98 kW,0.12 kW,53.03 kW,0.98 kW,27.86 kW,25.16 kW,27.86 kW,0.98 kW,0.12 kW,0.98 kW,0.98 kW,333.70 kW,0.12 kW,0.98 kW,25.16 kW,0.98 kW,0.98 kW
1/1/23 8:45,0.12 kW,0.97 kW,0.97 kW,0.12 kW,27.88 kW,0.12 kW,0.12 kW,0.12 kW,0.12 kW,0.97 kW,0.12 kW,52.77 kW,0.97 kW,27.55 kW,25.22 kW,27.55 kW,0.97 kW,0.12 kW,0.97 kW,0.97 kW,335.39 kW,0.12 kW,0.97 kW,25.22 kW,0.97 kW,0.97 kW
1/1/23 9:00,0.12 kW,0.79 kW,0.79 kW,0.12 kW,28.71 kW,0.12 kW,0.12 kW,0.12 kW,0.12 kW,0.79 kW,0.12 kW,53.71 kW,0.79 kW,28.55 kW,25.16 kW,28.55 kW,0.79 kW,0.12 kW,0.79 kW,0.79 kW,338.52 kW,0.12 kW,0.79 kW,25.16 kW,0.79 kW,0.79 kW
1/1/23 9:15,0.12 kW,0.79 kW,0.79 kW,0.12 kW,28.74 kW,0.12 kW,0.12 kW,0.12 kW,0.12 kW,0.79 kW,0.12 kW,54.69 kW,0.79 kW,28.57 kW,26.12 kW,28.57 kW,0.79 kW,0.12 kW,0.79 kW,0.79 kW,340.13 kW,0.12 kW,0.79 kW,26.12 kW,0.79 kW,0.79 kW
1/1/23 9:30,0.12 kW,0.79 kW,0.79 kW,0.12 kW,29.28 kW,0.12 kW,0.12 kW,0.12 kW,0.12 kW,0.79 kW,0.12 kW,54.67 kW,0.79 kW,29.12 kW,25.55 kW,29.12 kW,0.79 kW,0.12 kW,0.79 kW,0.79 kW,341.72 kW,0.12 kW,0.79 kW,25.55 kW,0.79 kW,0.79 kW
1/1/23 9:45,0.12 kW,0.78 kW,0.78 kW,0.12 kW,30.27 kW,0.12 kW,0.12 kW,0.12 kW,0.12 kW,0.78 kW,0.12 kW,55.02 kW,0.78 kW,30.10 kW,24.92 kW,30.10 kW,0.78 kW,0.12 kW,0.78 kW,0.78 kW,343.01 kW,0.12 kW,0.78 kW,24.92 kW,0.78 kW,0.78 kW
1/1/23 10:00,0.16 kW,0.77 kW,0.77 kW,0.16 kW,30.03 kW,0.16 kW,0.16 kW,0.16 kW,0.16 kW,0.77 kW,0.16 kW,54.65 kW,0.77 kW,29.60 kW,25.06 kW,29.60 kW,0.77 kW,0.16 kW,0.77 kW,0.77 kW,344.86 kW,0.16 kW,0.77 kW,25.06 kW,0.77 kW,0.77 kW
1/1/23 10:15,0.16 kW,0.75 kW,0.75 kW,0.16 kW,29.48 kW,0.16 kW,0.16 kW,0.16 kW,0.16 kW,0.75 kW,0.16 kW,54.83 kW,0.75 kW,29.09 kW,25.73 kW,29.09 kW,0.75 kW,0.16 kW,0.75 kW,0.75 kW,346.70 kW,0.16 kW,0.75 kW,25.73 kW,0.75 kW,0.75 kW
1/1/23 10:30,0.16 kW,0.97 kW,0.97 kW,0.16 kW,29.98 kW,0.16 kW,0.16 kW,0.16 kW,0.16 kW,0.97 kW,0.16 kW,54.01 kW,0.97 kW,29.61 kW,24.40 kW,29.61 kW,0.97 kW,0.16 kW,0.97 kW,0.97 kW,348.43 kW,0.16 kW,0.97 kW,24.40 kW,0.97 kW,0.97 kW
1/1/23 10:45,0.26 kW,0.95 kW,0.95 kW,0.26 kW,31.10 kW,0.26 kW,0.26 kW,0.26 kW,0.26 kW,0.95 kW,0.26 kW,54.56 kW,0.95 kW,30.56 kW,24.00 kW,30.56 kW,0.95 kW,0.26 kW,0.95 kW,0.95 kW,349.56 kW,0.26 kW,0.95 kW,24.00 kW,0.95 kW,0.95 kW
1/1/23 11:00,0.42 kW,0.70 kW,0.70 kW,0.42 kW,29.92 kW,0.42 kW,0.42 kW,0.42 kW,0.42 kW,0.70 kW,0.42 kW,52.94 kW,0.70 kW,29.40 kW,23.54 kW,29.40 kW,0.70 kW,0.42 kW,0.70 kW,0.70 kW,350.50 kW,0.42 kW,0.70 kW,23.54 kW,0.70 kW,0.70 kW
1/1/23 11:15,0.15 kW,0.68 kW,0.68 kW,0.15 kW,29.12 kW,0.15 kW,0.15 kW,0.15 kW,0.15 kW,0.68 kW,0.15 kW,51.71 kW,0.68 kW,28.80 kW,22.91 kW,28.80 kW,0.68 kW,0.15 kW,0.68 kW,0.68 kW,350.46 kW,0.15 kW,0.68 kW,22.91 kW,0.68 kW,0.68 kW
1/1/23 11:30,0.15 kW,0.66 kW,0.66 kW,0.15 kW,29.22 kW,0.15 kW,0.15 kW,0.15 kW,0.15 kW,0.66 kW,0.15 kW,51.42 kW,0.66 kW,28.90 kW,22.52 kW,28.90 kW,0.66 kW,0.15 kW,0.66 kW,0.66 kW,349.21 kW,0.15 kW,0.66 kW,22.52 kW,0.66 kW,0.66 kW
1/1/23 11:45,0.11 kW,0.64 kW,0.64 kW,0.11 kW,28.67 kW,0.11 kW,0.11 kW,0.11 kW,0.11 kW,0.64 kW,0.11 kW,50.56 kW,0.64 kW,28.36 kW,22.21 kW,28.36 kW,0.64 kW,0.11 kW,0.64 kW,0.64 kW,348.63 kW,0.11 kW,0.64 kW,22.21 kW,0.64 kW,0.64 kW
1/1/23 12:00,0.11 kW,0.62 kW,0.62 kW,0.11 kW,28.41 kW,0.11 kW,0.11 kW,0.11 kW,0.11 kW,0.62 kW,0.11 kW,50.20 kW,0.62 kW,28.10 kW,22.10 kW,28.10 kW,0.62 kW,0.11 kW,0.62 kW,0.62 kW,347.30 kW,0.11 kW,0.62 kW,22.10 kW,0.62 kW,0.62 kW
1/1/23 12:15,0.11 kW,0.60 kW,0.60 kW,0.11 kW,28.23 kW,0.11 kW,0.11 kW,0.11 kW,0.11 kW,0.60 kW,0.11 kW,49.92 kW,0.60 kW,27.92 kW,22.01 kW,27.92 kW,0.60 kW,0.11 kW,0.60 kW,0.60 kW,346.30 kW,0.11 kW,0.60 kW,22.01 kW,0.60 kW,0.60 kW
1/1/23 12:30,0.11 kW,0.58 kW,0.58 kW,0.11 kW,28.58 kW,0.11 kW,0.11 kW,0.11 kW,0.11 kW,0.58 kW,0.11 kW,49.86 kW,0.58 kW,28.27 kW,21.59 kW,28.27 kW,0.58 kW,0.11 kW,0.58 kW,0.58 kW,344.15 kW,0.11 kW,0.58 kW,21.59 kW,0.58 kW,0.58 kW
1/1/23 12:45,0.10 kW,0.57 kW,0.57 kW,0.10 kW,28.22 kW,0.10 kW,0.10 kW,0.10 kW,0.10 kW,0.57 kW,0.10 kW,47.90 kW,0.57 kW,27.91 kW,19.99 kW,27.91 kW,0.57 kW,0.10 kW,0.57 kW,0.57 kW,342.70 kW,0.10 kW,0.57 kW,19.99 kW,0.57 kW,0.57 kW
1/1/23 13:00,0.10 kW,0.55 kW,0.55 kW,0.10 kW,28.11 kW,0.10 kW,0.10 kW,0.10 kW,0.10 kW,0.55 kW,0.10 kW,46.08 kW,0.55 kW,27.80 kW,18.28 kW,27.80 kW,0.55 kW,0.10 kW,0.55 kW,0.55 kW,340.79 kW,0.10 kW,0.55 kW,18.28 kW,0.55 kW,0.55 kW
1/1/23 13:15,0.10 kW,0.53 kW,0.53 kW,0.10 kW,26.12 kW,0.10 kW,0.10 kW,0.10 kW,0.10 kW,0.53 kW,0.10 kW,43.58 kW,0.53 kW,25.81 kW,17.76 kW,25.81 kW,0.53 kW,0.10 kW,0.53 kW,0.53 kW,339.03 kW,0.10 kW,0.53 kW,17.76 kW,0.53 kW,0.53 kW
1/1/23 13:30,0.10 kW,0.51 kW,0.51 kW,0.10 kW,24.55 kW,0.10 kW,0.10 kW,0.10 kW,0.10 kW,0.51 kW,0.10 kW,40.01 kW,0.51 kW,24.24 kW,15.77 kW,24.24 kW,0.51 kW,0.10 kW,0.51 kW,0.51 kW,338.79 kW,0.10 kW,0.51 kW,15.77 kW,0.51 kW,0.51 kW
1/1/23 13:45,0.10 kW,0.49 kW,0.49 kW,0.10 kW,23.84 kW,0.10 kW,0.10 kW,0.10 kW,0.10 kW,0.49 kW,0.10 kW,40.16 kW,0.49 kW,23.53 kW,16.64 kW,23.53 kW,0.49 kW,0.10 kW,0.49 kW,0.49 kW,338.00 kW,0.10 kW,0.49 kW,16.64 kW,0.49 kW,0.49 kW
1/1/23 14:00,0.41 kW,0.47 kW,0.47 kW,0.41 kW,21.84 kW,0.41 kW,0.41 kW,0.41 kW,0.41 kW,0.47 kW,0.41 kW,37.90 kW,0.47 kW,21.53 kW,16.37 kW,21.53 kW,0.47 kW,0.41 kW,0.47 kW,0.47 kW,337.80 kW,0.41 kW,0.47 kW,16.37 kW,0.47 kW,0.47 kW
1/1/23 14:15,0.43 kW,0.45 kW,0.45 kW,0.43 kW,22.62 kW,0.43 kW,0.43 kW,0.43 kW,0.43 kW,0.45 kW,0.43 kW,38.12 kW,0.45 kW,22.31 kW,15.82 kW,22.31 kW,0.45 kW,0.43 kW,0.45 kW,0.45 kW,337.97 kW,0.43 kW,0.45 kW,15.82 kW,0.45 kW,0.45 kW
1/1/23 14:30,0.17 kW,0.43 kW,0.43 kW,0.17 kW,22.46 kW,0.17 kW,0.17 kW,0.17 kW,0.17 kW,0.43 kW,0.17 kW,37.87 kW,0.43 kW,22.14 kW,15.73 kW,22.14 kW,0.43 kW,0.17 kW,0.43 kW,0.43 kW,337.83 kW,0.17 kW,0.43 kW,15.73 kW,0.43 kW,0.43 kW
1/1/23 14:45,0.40 kW,0.41 kW,0.41 kW,0.40 kW,21.59 kW,0.40 kW,0.40 kW,0.40 kW,0.40 kW,0.41 kW,0.40 kW,36.67 kW,0.41 kW,21.28 kW,15.39 kW,21.28 kW,0.41 kW,0.40 kW,0.41 kW,0.41 kW,337.84 kW,0.40 kW,0.41 kW,15.39 kW,0.41 kW,0.41 kW
1/1/23 15:00,0.48 kW,0.40 kW,0.40 kW,0.48 kW,21.97 kW,0.48 kW,0.48 kW,0.48 kW,0.48 kW,0.40 kW,0.48 kW,38.16 kW,0.40 kW,21.64 kW,16.52 kW,21.64 kW,0.40 kW,0.48 kW,0.40 kW,0.40 kW,336.70 kW,0.48 kW,0.40 kW,16.52 kW,0.40 kW,0.40 kW
1/1/23 15:15,0.41 kW,0.39 kW,0.39 kW,0.41 kW,21.19 kW,0.41 kW,0.41 kW,0.41 kW,0.41 kW,0.39 kW,0.41 kW,35.85 kW,0.39 kW,20.86 kW,14.99 kW,20.86 kW,0.39 kW,0.41 kW,0.39 kW,0.39 kW,335.93 kW,0.41 kW,0.39 kW,14.99 kW,0.39 kW,0.39 kW
1/1/23 15:30,0.14 kW,0.39 kW,0.39 kW,0.14 kW,21.03 kW,0.14 kW,0.14 kW,0.14 kW,0.14 kW,0.39 kW,0.14 kW,35.44 kW,0.39 kW,20.70 kW,14.75 kW,20.70 kW,0.39 kW,0.14 kW,0.39 kW,0.39 kW,334.45 kW,0.14 kW,0.39 kW,14.75 kW,0.39 kW,0.39 kW
1/1/23 15:45,0.14 kW,0.38 kW,0.38 kW,0.14 kW,22.14 kW,0.14 kW,0.14 kW,0.14 kW,0.14 kW,0.38 kW,0.14 kW,35.30 kW,0.38 kW,21.81 kW,13.49 kW,21.81 kW,0.38 kW,0.14 kW,0.38 kW,0.38 kW,329.82 kW,0.14 kW,0.38 kW,13.49 kW,0.38 kW,0.38 kW
1/1/23 16:00,0.13 kW,0.38 kW,0.38 kW,0.13 kW,20.64 kW,0.13 kW,0.13 kW,0.13 kW,0.13 kW,0.38 kW,0.13 kW,34.70 kW,0.38 kW,20.22 kW,14.48 kW,20.22 kW,0.38 kW,0.13 kW,0.38 kW,0.38 kW,324.93 kW,0.13 kW,0.38 kW,14.48 kW,0.38 kW,0.38 kW
1/1/23 16:15,0.17 kW,0.39 kW,0.39 kW,0.17 kW,20.20 kW,0.17 kW,0.17 kW,0.17 kW,0.17 kW,0.39 kW,0.17 kW,33.22 kW,0.39 kW,19.78 kW,13.44 kW,19.78 kW,0.39 kW,0.17 kW,0.39 kW,0.39 kW,324.50 kW,0.17 kW,0.39 kW,13.44 kW,0.39 kW,0.39 kW
1/1/23 16:30,0.17 kW,0.39 kW,0.39 kW,0.17 kW,18.80 kW,0.17 kW,0.17 kW,0.17 kW,0.17 kW,0.39 kW,0.17 kW,31.69 kW,0.39 kW,18.38 kW,13.32 kW,18.38 kW,0.39 kW,0.17 kW,0.39 kW,0.39 kW,323.69 kW,0.17 kW,0.39 kW,13.32 kW,0.39 kW,0.39 kW
1/1/23 16:45,0.17 kW,0.39 kW,0.39 kW,0.17 kW,19.50 kW,0.17 kW,0.17 kW,0.17 kW,0.17 kW,0.39 kW,0.17 kW,32.26 kW,0.39 kW,19.08 kW,13.18 kW,19.08 kW,0.39 kW,0.17 kW,0.39 kW,0.39 kW,321.57 kW,0.17 kW,0.39 kW,13.18 kW,0.39 kW,0.39 kW
1/1/23 17:00,0.19 kW,0.82 kW,0.82 kW,0.19 kW,16.97 kW,0.19 kW,0.19 kW,0.19 kW,0.19 kW,0.82 kW,0.19 kW,29.55 kW,0.82 kW,16.37 kW,13.18 kW,16.37 kW,0.82 kW,0.19 kW,0.82 kW,0.82 kW,319.24 kW,0.19 kW,0.82 kW,13.18 kW,0.82 kW,0.82 kW
1/1/23 17:15,0.20 kW,0.84 kW,0.84 kW,0.20 kW,20.91 kW,0.20 kW,0.20 kW,0.20 kW,0.20 kW,0.84 kW,0.20 kW,37.17 kW,0.84 kW,20.31 kW,16.86 kW,20.31 kW,0.84 kW,0.20 kW,0.84 kW,0.84 kW,322.33 kW,0.20 kW,0.84 kW,16.86 kW,0.84 kW,0.84 kW
1/1/23 17:30,0.20 kW,0.86 kW,0.86 kW,0.20 kW,20.50 kW,0.20 kW,0.20 kW,0.20 kW,0.20 kW,0.86 kW,0.20 kW,36.81 kW,0.86 kW,19.90 kW,16.91 kW,19.90 kW,0.86 kW,0.20 kW,0.86 kW,0.86 kW,322.63 kW,0.20 kW,0.86 kW,16.91 kW,0.86 kW,0.86 kW
