Time,Humphrey Hall,Jorns Halls,Gilman House,Mack House,Seed Building,DeJope Residence Hall,Phillips Residence Hall,Sullivan Residence Hall,Swenson House,Chamberlin Residence Hall,Cole Residence Hall,Veterinary Medicine Building,Tripp Residence Hall,Livestock Laboratory,Agricultural Engineering Laboratory,Veterinary Diagnostic Lab,Adams Residence Hall,Turner House, Kronshage Residence Hall, Leopold Residence Hall,Bakke Recreation & Wellbeing Center,Bradley Residence Hall,Jones Residence Hall,Goodnight Hall,Slichter Residence Hall,Carson Gulley Center
7/15/23 9:45,0.14 kW,0.31 kW,0.31 kW,0.14 kW,48.99 kW,0.14 kW,0.14 kW,0.14 kW,0.14 kW,0.31 kW,0.14 kW,65.07 kW,0.31 kW,48.82 kW,16.24 kW,48.82 kW,0.31 kW,0.14 kW,0.31 kW,0.31 kW,287.35 kW,0.14 kW,0.31 kW,16.24 kW,0.31 kW,0.31 kW
7/15/23 10:00,0.41 kW,0.65 kW,0.65 kW,0.41 kW,49.27 kW,0.41 kW,0.41 kW,0.41 kW,0.41 kW,0.65 kW,0.41 kW,65.06 kW,0.65 kW,49.11 kW,15.95 kW,49.11 kW,0.65 kW,0.41 kW,0.65 kW,0.65 kW,286.29 kW,0.41 kW,0.65 kW,15.95 kW,0.65 kW,0.65 kW
7/15/23 10:15,0.13 kW,0.71 kW,0.71 kW,0.13 kW,49.70 kW,0.13 kW,0.13 kW,0.13 kW,0.13 kW,0.71 kW,0.13 kW,66.30 kW,0.71 kW,49.54 kW,16.75 kW,49.54 kW,0.71 kW,0.13 kW,0.71 kW,0.71 kW,284.49 kW,0.13 kW,0.71 kW,16.75 kW,0.71 kW,0.71 kW
7/15/23 10:30,0.06 kW,0.47 kW,0.47 kW,0.06 kW,51.89 kW,0.06 kW,0.06 kW,0.06 kW,0.06 kW,0.47 kW,0.06 kW,69.31 kW,0.47 kW,51.73 kW,17.58 kW,51.73 kW,0.47 kW,0.06 kW,0.47 kW,0.47 kW,283.25 kW,0.06 kW,0.47 kW,17.58 kW,0.47 kW,0.47 kW
7/15/23 10:45,0.06 kW,0.41 kW,0.41 kW,0.06 kW,51.31 kW,0.06 kW,0.06 kW,0.06 kW,0.06 kW,0.41 kW,0.06 kW,69.68 kW,0.41 kW,51.15 kW,18.53 kW,51.15 kW,0.41 kW,0.06 kW,0.41 kW,0.41 kW,279.21 kW,0.06 kW,0.41 kW,18.53 kW,0.41 kW,0.41 kW
7/15/23 11:00,0.06 kW,0.38 kW,0.38 kW,0.06 kW,51.86 kW,0.06 kW,0.06 kW,0.06 kW,0.06 kW,0.38 kW,0.06 kW,70.90 kW,0.38 kW,51.70 kW,19.20 kW,51.70 kW,0.38 kW,0.06 kW,0.38 kW,0.38 kW,275.18 kW,0.06 kW,0.38 kW,19.20 kW,0.38 kW,0.38 kW
7/15/23 11:15,0.06 kW,0.34 kW,0.34 kW,0.06 kW,52.21 kW,0.06 kW,0.06 kW,0.06 kW,0.06 kW,0.34 kW,0.06 kW,72.17 kW,0.34 kW,52.05 kW,20.12 kW,52.05 kW,0.34 kW,0.06 kW,0.34 kW,0.34 kW,271.72 kW,0.06 kW,0.34 kW,20.12 kW,0.34 kW,0.34 kW
7/15/23 11:30,0.06 kW,0.73 kW,0.73 kW,0.06 kW,52.44 kW,0.06 kW,0.06 kW,0.06 kW,0.06 kW,0.73 kW,0.06 kW,74.15 kW,0.73 kW,52.28 kW,21.87 kW,52.28 kW,0.73 kW,0.06 kW,0.73 kW,0.73 kW,269.74 kW,0.06 kW,0.73 kW,21.87 kW,0.73 kW,0.73 kW
7/15/23 11:45,0.06 kW,0.62 kW,0.62 kW,0.06 kW,52.71 kW,0.06 kW,0.06 kW,0.06 kW,0.06 kW,0.62 kW,0.06 kW,76.68 kW,0.62 kW,52.55 kW,24.13 kW,52.55 kW,0.62 kW,0.06 kW,0.62 kW,0.62 kW,269.03 kW,0.06 kW,0.62 kW,24.13 kW,0.62 kW,0.62 kW
7/15/23 12:00,0.06 kW,0.18 kW,0.18 kW,0.06 kW,53.14 kW,0.06 kW,0.06 kW,0.06 kW,0.06 kW,0.18 kW,0.06 kW,79.03 kW,0.18 kW,52.98 kW,26.05 kW,52.98 kW,0.18 kW,0.06 kW,0.18 kW,0.18 kW,269.69 kW,0.06 kW,0.18 kW,26.05 kW,0.18 kW,0.18 kW
7/15/23 12:15,0.06 kW,0.18 kW,0.18 kW,0.06 kW,53.69 kW,0.06 kW,0.06 kW,0.06 kW,0.06 kW,0.18 kW,0.06 kW,81.56 kW,0.18 kW,53.53 kW,28.03 kW,53.53 kW,0.18 kW,0.06 kW,0.18 kW,0.18 kW,270.70 kW,0.06 kW,0.18 kW,28.03 kW,0.18 kW,0.18 kW
7/15/23 12:30,0.06 kW,0.18 kW,0.18 kW,0.06 kW,54.18 kW,0.06 kW,0.06 kW,0.06 kW,0.06 kW,0.18 kW,0.06 kW,83.66 kW,0.18 kW,54.02 kW,29.64 kW,54.02 kW,0.18 kW,0.06 kW,0.18 kW,0.18 kW,271.38 kW,0.06 kW,0.18 kW,29.64 kW,0.18 kW,0.18 kW
7/15/23 12:45,0.06 kW,0.19 kW,0.19 kW,0.06 kW,54.62 kW,0.06 kW,0.06 kW,0.06 kW,0.06 kW,0.19 kW,0.06 kW,85.74 kW,0.19 kW,54.46 kW,31.28 kW,54.46 kW,0.19 kW,0.06 kW,0.19 kW,0.19 kW,271.79 kW,0.06 kW,0.19 kW,31.28 kW,0.19 kW,0.19 kW
7/15/23 13:00,0.06 kW,0.20 kW,0.20 kW,0.06 kW,54.41 kW,0.06 kW,0.06 kW,0.06 kW,0.06 kW,0.20 kW,0.06 kW,85.69 kW,0.20 kW,54.25 kW,31.44 kW,54.25 kW,0.20 kW,0.06 kW,0.20 kW,0.20 kW,272.36 kW,0.06 kW,0.20 kW,31.44 kW,0.20 kW,0.20 kW
